Record Id,Deal Name.id,Deal Name,Stage,Stage Duration (Calendar Days),Modified By.id,Modified By,Modified Time,Amount,Probability (%),Expected Revenue,Closing Date,Last Activity Time,Moved To
zcrm_6221978000038249191,zcrm_6221978000038249189,Olivia Vallejo,Lead,5,zcrm_6221978000034576001,Alexander Deliz,2024-10-24 18:58:23,,2,,2024-10-29,2024-10-29 12:27:58,Engaged
zcrm_6221978000039057294,zcrm_6221978000039057292,JFS Wealth Advisors,Lead,49,zcrm_6221978000034576001,Alexander Deliz,2024-10-28 14:38:52,,2,,2024-10-31,2024-12-16 09:45:30,Meetings Completed
zcrm_6221978000039262003,zcrm_6221978000038249189,Olivia Vallejo,Engaged,0,zcrm_6221978000000914023,Steve Perry,2024-10-29 12:27:58,,6,,2024-10-29,2024-10-29 12:28:00,Meeting Booked
zcrm_6221978000039262014,zcrm_6221978000038249189,Olivia Vallejo,Meeting Booked,0,zcrm_6221978000000914023,Steve Perry,2024-10-29 12:28:00,,33,,2024-10-29,2024-10-29 16:06:21,Meetings Completed
zcrm_6221978000039262056,zcrm_6221978000038249189,Olivia Vallejo,Meetings Completed,42,zcrm_6221978000000914023,Steve Perry,2024-10-29 16:06:21,,36,,2024-10-29,2024-12-10 11:28:14,Deferred
zcrm_6221978000042757047,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Lead,0,zcrm_6221978000000914023,Steve Perry,2024-11-08 11:22:16,,2,,2024-11-15,2024-11-08 11:22:52,Engaged
zcrm_6221978000042757079,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Engaged,0,zcrm_6221978000000914023,Steve Perry,2024-11-08 11:22:52,,6,,2024-11-15,2024-11-08 11:22:54,Webinar Attended
zcrm_6221978000042757092,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Webinar Attended,0,zcrm_6221978000000914023,Steve Perry,2024-11-08 11:22:54,,16,,2024-11-15,2024-11-08 11:22:55,Meetings Completed
zcrm_6221978000042757105,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Meetings Completed,9,zcrm_6221978000000914023,Steve Perry,2024-11-08 11:22:55,,36,,2024-11-15,2024-11-17 14:35:55,Client Internal Review
zcrm_6221978000044278063,zcrm_6221978000044278061,"Financial Advisor (Eden Prairie, MN) Boulay",Engaged,22,zcrm_6221978000000914023,Steve Perry,2024-11-13 17:50:44,,6,,2024-11-21,2024-12-05 14:57:35,Meeting Booked
zcrm_6221978000044278162,zcrm_6221978000044278160,HJ Sims,Engaged,211,zcrm_6221978000000914023,Steve Perry,2024-11-13 17:56:22,,6,,2024-11-21,2025-06-12 12:21:39,Closed Lost
zcrm_6221978000044457045,zcrm_6221978000044457043,Matthew Tooley,Lead,0,zcrm_6221978000034576001,Alexander Deliz,2024-11-14 17:24:32,,2,,2024-11-20,2024-11-14 17:45:23,Meeting Booked
zcrm_6221978000044457109,zcrm_6221978000044457043,Matthew Tooley,Meeting Booked,6,zcrm_6221978000034576001,Alexander Deliz,2024-11-14 17:45:23,,33,,2024-11-20,2024-11-20 16:48:05,Closed Lost
zcrm_6221978000045009006,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Client Internal Review,3,zcrm_6221978000000914023,Steve Perry,2024-11-17 14:35:55,,42,,2024-11-15,2024-11-20 17:44:57,Closed Lost
zcrm_6221978000045379347,zcrm_6221978000045379345,Financial Advisor 1 (Reno) Prime Financial,Webinar Booked,0,zcrm_6221978000000914023,Steve Perry,2024-11-19 12:53:39,,6,,2024-12-03,2024-11-19 12:53:47,Meeting Booked
zcrm_6221978000045379367,zcrm_6221978000045379345,Financial Advisor 1 (Reno) Prime Financial,Meeting Booked,1,zcrm_6221978000000914023,Steve Perry,2024-11-19 12:53:47,,33,,2024-12-03,2024-11-20 16:47:19,Closed Lost
zcrm_6221978000046011259,zcrm_6221978000046011257,David Vaughan Investments Recruiting,Lead,26,zcrm_6221978000034576001,Alexander Deliz,2024-11-20 12:05:52,,2,,2024-11-20,2024-12-16 10:09:18,Meeting Booked
zcrm_6221978000046117569,zcrm_6221978000045379345,Financial Advisor 1 (Reno) Prime Financial,Closed Lost,5,zcrm_6221978000000914023,Steve Perry,2024-11-20 16:47:19,,0,,2024-12-03,2024-11-25 13:39:17,Client Internal Review
zcrm_6221978000046117581,zcrm_6221978000044457043,Matthew Tooley,Closed Lost,,zcrm_6221978000000914023,Steve Perry,2024-11-20 16:48:05,,0,,2024-11-20,2024-11-20 16:48:05,
zcrm_6221978000046117834,zcrm_6221978000008413575,Ashford Advisors,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-11-20 17:39:57,,100,,2024-10-01,2024-11-20 17:39:57,
zcrm_6221978000046117886,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Closed Lost,5,zcrm_6221978000000914023,Steve Perry,2024-11-20 17:44:57,,0,,2024-11-25,2024-11-25 12:58:02,Lead
zcrm_6221978000046521298,zcrm_6221978000046521296,Cx Institutional Recruiting,Lead,19,zcrm_6221978000034576001,Alexander Deliz,2024-11-21 11:44:29,,2,,2024-11-21,2024-12-10 10:19:15,Meeting Booked
zcrm_6221978000046521884,zcrm_6221978000046521882,Howard Kramer,Lead,25,zcrm_6221978000034576001,Alexander Deliz,2024-11-21 15:18:48,,2,,2024-11-21,2024-12-16 10:10:10,Meeting Booked
zcrm_6221978000047415428,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Lead,38,zcrm_6221978000000914023,Steve Perry,2024-11-25 12:58:02,,2,,2024-11-25,2025-01-02 09:43:05,Closed Lost
zcrm_6221978000047417434,zcrm_6221978000045379345,Financial Advisor 1 (Reno) Prime Financial,Client Internal Review,0,zcrm_6221978000000914023,Steve Perry,2024-11-25 13:39:17,,42,,2024-12-03,2024-11-25 13:39:20,Closed Won
zcrm_6221978000047417442,zcrm_6221978000045379345,Financial Advisor 1 (Reno) Prime Financial,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-11-25 13:39:20,,100,,2024-12-03,2024-11-25 13:39:20,
zcrm_6221978000047417574,zcrm_6221978000019900445,Otimus Producer Partners,Closed Lost,,zcrm_6221978000000914023,Steve Perry,2024-11-25 14:20:09,,0,,2024-11-30,2024-11-25 14:20:09,
zcrm_6221978000047986023,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Lead,0,zcrm_6221978000000914023,Steve Perry,2024-11-27 16:22:51,,2,,2024-12-05,2024-11-27 16:23:05,Engaged
zcrm_6221978000047986047,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Engaged,0,zcrm_6221978000000914023,Steve Perry,2024-11-27 16:23:05,,6,,2024-12-05,2024-11-27 16:23:07,Webinar Booked
zcrm_6221978000047986055,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Webinar Booked,0,zcrm_6221978000000914023,Steve Perry,2024-11-27 16:23:07,,6,,2024-12-05,2024-11-27 16:23:10,Meeting Booked
zcrm_6221978000047986063,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Meeting Booked,0,zcrm_6221978000000914023,Steve Perry,2024-11-27 16:23:10,,33,,2024-12-05,2024-11-27 16:23:12,Meetings Completed
zcrm_6221978000047986071,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Meetings Completed,5,zcrm_6221978000000914023,Steve Perry,2024-11-27 16:23:12,,36,,2024-12-05,2024-12-02 16:58:45,Closed Won
zcrm_6221978000048197003,zcrm_6221978000048197001,FourStar Wealth,Meeting Booked,18,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:12:00,,33,,2024-12-04,2024-12-17 12:34:53,Meetings Completed
zcrm_6221978000048197019,zcrm_6221978000029182012,RPOA Retirement Advisor,Past Client,,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:26:24,,0,,2024-09-17,2024-11-29 11:26:24,
zcrm_6221978000048197034,zcrm_6221978000019453142,RPOA JRC,Past Client,,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:26:30,,0,,2024-06-01,2024-11-29 11:26:30,
zcrm_6221978000048197080,zcrm_6221978000048197078,RPOA Director of Data,Closed Won,63,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:34:03,,100,,2024-11-19,2025-01-31 14:08:07,Client Internal Review
zcrm_6221978000048197101,zcrm_6221978000048197099,RPOA Salesforce Administrator,Closed Won,94,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:35:02,,100,,2024-11-19,2025-03-03 10:57:02,Past Client
zcrm_6221978000048197236,zcrm_6221978000048197234,HR & Recruiting Manager Drake & Assoc,Meetings Completed,3,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:50:28,,36,,2024-12-03,2024-12-02 16:59:04,Closed Won
zcrm_6221978000048197257,zcrm_6221978000048197255,Client Services Representative Drake & Assoc,Meetings Completed,3,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:54:13,,36,,2024-12-03,2024-12-02 16:58:59,Closed Won
zcrm_6221978000048197278,zcrm_6221978000048197276,Multimedia Specialist Drake & Assoc,Meetings Completed,3,zcrm_6221978000000914023,Steve Perry,2024-11-29 11:56:22,,36,,2024-12-03,2024-12-02 16:58:52,Closed Won
zcrm_6221978000048197330,zcrm_6221978000048197328,Managing Director Foster Klima,Closed Won,195,zcrm_6221978000000914023,Steve Perry,2024-11-29 12:02:40,,100,,2024-11-27,2025-06-12 11:29:47,Past Client
zcrm_6221978000048715641,zcrm_6221978000047986021,Lead Advisor 1 (Grand Rapids) Drake & Assoc,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-12-02 16:58:45,,100,,2024-12-05,2024-12-02 16:58:45,
zcrm_6221978000048715656,zcrm_6221978000048197276,Multimedia Specialist Drake & Assoc,Closed Won,64,zcrm_6221978000000914023,Steve Perry,2024-12-02 16:58:52,,100,,2024-12-03,2025-02-04 11:29:20,Client Internal Review
zcrm_6221978000048715671,zcrm_6221978000048197255,Client Services Representative Drake & Assoc,Closed Won,192,zcrm_6221978000000914023,Steve Perry,2024-12-02 16:58:59,,100,,2024-12-03,2025-06-12 11:29:38,Past Client
zcrm_6221978000048715686,zcrm_6221978000048197234,HR & Recruiting Manager Drake & Assoc,Closed Won,91,zcrm_6221978000000914023,Steve Perry,2024-12-02 16:59:04,,100,,2024-12-03,2025-03-03 10:53:40,Past Client
zcrm_6221978000049035179,zcrm_6221978000012166457,New York Life Santa Clara,Past Client,7,zcrm_6221978000000914023,Steve Perry,2024-12-03 11:53:53,,0,,2024-12-31,2024-12-10 11:17:11,Deferred
zcrm_6221978000049035224,zcrm_6221978000036382015,One Seven,Deferred,,zcrm_6221978000000914023,Steve Perry,2024-12-03 11:56:14,,10,,2024-10-31,2024-12-03 11:56:14,
zcrm_6221978000050119005,zcrm_6221978000044278061,"Financial Advisor (Eden Prairie, MN) Boulay",Meeting Booked,0,zcrm_6221978000000914023,Steve Perry,2024-12-05 14:57:35,,33,,2024-11-21,2024-12-05 14:57:39,Meetings Completed
zcrm_6221978000050119020,zcrm_6221978000044278061,"Financial Advisor (Eden Prairie, MN) Boulay",Meetings Completed,61,zcrm_6221978000000914023,Steve Perry,2024-12-05 14:57:39,,36,,2024-11-21,2025-02-04 12:05:50,Client Internal Review
zcrm_6221978000050374374,zcrm_6221978000050374372,Left Tackle Advisors Recruiting,Lead,0,zcrm_6221978000034576001,Alexander Deliz,2024-12-06 14:00:52,,2,,2024-12-06,2024-12-06 14:01:07,Meeting Booked
zcrm_6221978000050374393,zcrm_6221978000050374372,Left Tackle Advisors Recruiting,Meeting Booked,48,zcrm_6221978000034576001,Alexander Deliz,2024-12-06 14:01:07,,33,,2024-12-06,2025-01-23 09:38:30,Meetings Completed
zcrm_6221978000051110210,zcrm_6221978000012166455,New York Life San Diego,Closed Lost,22,zcrm_6221978000000914023,Steve Perry,2024-12-09 14:39:47,,0,,2024-12-31,2024-12-31 11:56:27,Closed Won
zcrm_6221978000051776009,zcrm_6221978000046521296,Cx Institutional Recruiting,Meeting Booked,184,zcrm_6221978000011205219,Megan Sweeney,2024-12-10 10:19:15,,33,,2024-11-21,2025-06-12 11:52:11,Closed Lost
zcrm_6221978000051820016,zcrm_6221978000012166457,New York Life Santa Clara,Deferred,2,zcrm_6221978000000914023,Steve Perry,2024-12-10 11:17:11,,10,,2024-12-31,2024-12-12 10:40:44,Meeting Booked
zcrm_6221978000051820106,zcrm_6221978000038249189,Olivia Vallejo,Deferred,,zcrm_6221978000000914023,Steve Perry,2024-12-10 11:28:14,,10,,2025-01-31,2024-12-10 11:28:14,
zcrm_6221978000051820138,zcrm_6221978000051820136,Ben Emons Fed Watch,Meeting Booked,7,zcrm_6221978000000914023,Steve Perry,2024-12-10 11:33:36,,33,,2024-12-13,2024-12-17 13:09:59,Deferred
zcrm_6221978000052271008,zcrm_6221978000052271006,Dermatology Physicians (MN & Il) Abacus Investments,Meetings Completed,63,zcrm_6221978000000914023,Steve Perry,2024-12-11 17:24:13,,36,,2024-12-18,2025-02-12 15:31:41,Meeting Booked
zcrm_6221978000052610001,zcrm_6221978000012166457,New York Life Santa Clara,Meeting Booked,0,zcrm_6221978000000914023,Steve Perry,2024-12-12 10:40:44,,33,,2024-12-31,2024-12-12 10:40:46,Meetings Completed
zcrm_6221978000052610016,zcrm_6221978000012166457,New York Life Santa Clara,Meetings Completed,0,zcrm_6221978000000914023,Steve Perry,2024-12-12 10:40:46,,36,,2024-12-31,2024-12-12 10:40:49,Client Internal Review
zcrm_6221978000052610031,zcrm_6221978000012166457,New York Life Santa Clara,Client Internal Review,0,zcrm_6221978000000914023,Steve Perry,2024-12-12 10:40:49,,42,,2024-12-31,2024-12-12 10:40:53,Closed Won
zcrm_6221978000052610046,zcrm_6221978000012166457,New York Life Santa Clara,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-12-12 10:40:53,,100,,2024-12-31,2024-12-12 10:40:53,
zcrm_6221978000053003154,zcrm_6221978000039057292,JFS Wealth Advisors,Meetings Completed,17,zcrm_6221978000011205219,Megan Sweeney,2024-12-16 09:45:30,,36,,2024-10-31,2025-01-02 15:26:38,Meeting Booked
zcrm_6221978000053003254,zcrm_6221978000046011257,David Vaughan Investments Recruiting,Meeting Booked,178,zcrm_6221978000011205219,Megan Sweeney,2024-12-16 10:09:18,,33,,2024-11-20,2025-06-12 12:00:24,Deferred
zcrm_6221978000053003284,zcrm_6221978000046521882,Howard Kramer,Meeting Booked,1,zcrm_6221978000011205219,Megan Sweeney,2024-12-16 10:10:10,,33,,2024-11-21,2024-12-17 12:37:20,Meetings Completed
zcrm_6221978000053024892,zcrm_6221978000053024890,Mark Lipke Farmers Insurance Group Recruiting,Lead,0,zcrm_6221978000034576001,Alexander Deliz,2024-12-13 16:03:48,,2,,2024-12-13,2024-12-13 16:04:00,Meeting Booked
zcrm_6221978000053024911,zcrm_6221978000053024890,Mark Lipke Farmers Insurance Group Recruiting,Meeting Booked,6,zcrm_6221978000034576001,Alexander Deliz,2024-12-13 16:04:00,,33,,2024-12-13,2024-12-19 12:41:06,Meetings Completed
zcrm_6221978000053154194,zcrm_6221978000053154192,Nicholas Holmes - Farmers Insurance Group Recruiting,Lead,0,zcrm_6221978000034576001,Alexander Deliz,2024-12-13 17:32:57,,2,,2024-12-13,2024-12-13 17:33:11,Meeting Booked
zcrm_6221978000053154213,zcrm_6221978000053154192,Nicholas Holmes - Farmers Insurance Group Recruiting,Meeting Booked,5,zcrm_6221978000034576001,Alexander Deliz,2024-12-13 17:33:11,,33,,2024-12-13,2024-12-18 13:27:43,Closed Won
zcrm_6221978000053795526,zcrm_6221978000048197001,FourStar Wealth,Meetings Completed,86,zcrm_6221978000000914023,Steve Perry,2024-12-17 12:34:53,,36,,2024-12-04,2025-03-13 13:17:14,Closed Lost
zcrm_6221978000053795554,zcrm_6221978000046521882,Howard Kramer,Meetings Completed,49,zcrm_6221978000000914023,Steve Perry,2024-12-17 12:37:20,,36,,2024-11-21,2025-02-04 12:04:36,Deferred
zcrm_6221978000053980001,zcrm_6221978000051820136,Ben Emons Fed Watch,Deferred,,zcrm_6221978000000914023,Steve Perry,2024-12-17 13:09:59,,10,,2024-12-13,2024-12-17 13:09:59,
zcrm_6221978000054547081,zcrm_6221978000054547079,Wilian Financial Group- Office Service Assistant,Meetings Completed,71,zcrm_6221978000000914023,Steve Perry,2024-12-18 11:57:48,,36,,2024-12-31,2025-02-27 12:53:02,Deferred
zcrm_6221978000054755065,zcrm_6221978000053154192,Nicholas Holmes - Farmers Insurance Group Recruiting,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-12-18 13:27:43,,100,,2024-12-13,2024-12-18 13:27:43,
zcrm_6221978000055150001,zcrm_6221978000053024890,Mark Lipke Farmers Insurance Group Recruiting,Meetings Completed,0,zcrm_6221978000000914023,Steve Perry,2024-12-19 12:41:06,,36,,2024-12-13,2024-12-19 12:41:13,Closed Won
zcrm_6221978000055150016,zcrm_6221978000053024890,Mark Lipke Farmers Insurance Group Recruiting,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-12-19 12:41:13,,100,,2024-12-19,2024-12-19 12:41:13,
zcrm_6221978000056179013,zcrm_6221978000012166455,New York Life San Diego,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-12-31 11:56:27,,100,,2024-12-31,2024-12-31 11:56:27,
zcrm_6221978000056273042,zcrm_6221978000042757045,"Thrivent Glenwood, MN",Closed Lost,,zcrm_6221978000000914023,Steve Perry,2025-01-02 09:43:05,,0,,2024-11-25,2025-01-02 09:43:05,
zcrm_6221978000056337023,zcrm_6221978000039057292,JFS Wealth Advisors,Meeting Booked,161,zcrm_6221978000011205219,Megan Sweeney,2025-01-02 15:26:38,,33,,2024-10-31,2025-06-12 11:59:37,Deferred
zcrm_6221978000060090046,zcrm_6221978000060090044,Accountant Van Clemens Accounting,Closed Won,,zcrm_6221978000000914023,Steve Perry,2025-01-14 17:13:58,,100,,2025-01-14,2025-01-14 17:13:58,
zcrm_6221978000060426957,zcrm_6221978000012167643,"New Biz - Royal Fund Management, Llc Austin",Meeting Booked,148,zcrm_6221978000034576001,Alexander Deliz,2025-01-15 18:04:22,,33,,2024-12-31,2025-06-12 11:59:58,Deferred
zcrm_6221978000061652116,zcrm_6221978000022107455,Farm Bureau Chanhassen,Closed Won,,zcrm_6221978000000914023,Steve Perry,2025-01-18 10:36:43,,100,,2024-09-17,2025-01-18 10:36:43,
